;0
0;Die angeforderte Seite konnte nicht gefunden werden.
1;Die angeforderte Seite konnte nicht gefunden werden.
2;"Das Lieblingsspiel der Amerikaner erfreut sich auch hierzulande immer größerer Beliebtheit. Grund dafür ist die Vielseitigkeit dieses Sports. Ob Klein oder Groß, Dick oder Dünn, Muskulös oder Schmächtig - diese körperbetonte Mannschaftssportart bietet jedem die Möglichkeit, sichins Team einzubringen und zum Erfolg beizutragen. Dieexplosive Verbindung von Strategie und Fitness, Disziplinund Teamgeist, Technik und Spaß, machen Football so einzigartig unter den Sportarten. Ausrüstungen sind vorhanden, also kommt einfach in Sportsachen vorbei und macht mit!Kontakt:Jesse Albert, jesse.albert@cologne-falcons.deDie Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.______________2G+ Nachweispflicht ab sofortBitte bring zum Kurs deinenPersonalausweis+ denfolgenden Nachweismit:1.) 2G + Testa.) 2G:Du bistgeimpft odergenesenb.) Plustagesaktueller Test.(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).2.) Befreiung von der Testpflicht:Du bist befreit vom tagesaktuellen Test, wenn du:a.)Alledrei Impfungenhast(„geboostert“)b.)Oderinnerhalb derletzten drei Monatevon einer Infektiongenesenbist.________________ACHTUNG: BITTE KOMMT CA. 10 MIN VOR KURSBEGINN!WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag19:4521:45OstkampfbahnVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
3;"Dynamik, Spaß und Power, das alles bietet diese wunderschöne Sportart. Unsere Angebote richten sich an AnfängerInnen, Fortgeschrittene, WettkampfspielerInnen und an diejenigen, die bloß spielen wollen.Schläger und Bälle können in begrenztem Umfang zur Verfügung gestellt werden.Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.Sporthalle Zülpicher Wall: !!! BITTE WARTET MIT MASKE AM PARKPLATZ, BIS DER TRAINER EUCH HINEINBEGLEITET. DIE MASKE DARF ERST IN DER HALLE AUSGEZOGEN WERDEN. Deswegen erscheint bitte 10 Minuten vor Kursbeginn !!!DIE LEUTE, DIE ZU SPÄT KOMMEN; WERDEN VON DER TEILNAHME LEIDER AUSGESCHLOSSEN.2G+ Nachweispflicht ab SofortDas heißt, es dürfennur immunisierte Personen teilnehmen (geimpft/genesen), die darüber hinaus noch über einenaktuell gültigen Testnachweis verfügen(Antigen-Schnelltest max. 24 Std. alt; PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.TeasercardstestLorem Ipsum Dolor Sit AmetTagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag17:0018:00Sportcenter KautzVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Montag18:0019:00Sportcenter KautzVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Dienstag17:0018:00Sportcenter KautzVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Dienstag18:0019:00Sportcenter KautzVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Mittwoch18:0020:00FGymnasium KreuzgasseVorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Donnerstag20:0021:30Zülpicher Wall 1Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
4;"Keine Sportart ist weltweit so populär wie Basketball.Auch bei uns findet dieses dynamische Mannschaftsspielimmer neue Freunde. Wer sich wieder, weiterhin oder als Frischling der Faszination dieses Sports hingeben möchte,ist bei uns willkommen. Es bietetsich an, einfach einmal vorbeizuschauen.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online; sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.Sporthalle Zülpicher Wall: !!! BITTE WARTET MIT MASKE AM PARKPLATZ, BIS DER TRAINER EUCH HINEINBEGLEITET. DIE MASKE DARF ERST IN DER HALLE AUSGEZOGEN WERDEN. Deswegen erscheint bitte 10 Minuten vor Kursbeginn !!!DIE LEUTE, DIE ZU SPÄT KOMMEN; WERDEN VON DER TEILNAHME LEIDER AUSGESCHLOSSEN.Pfälzer Straße: Die Halle ist aufgrund von Beschädigungen des Bodens bis auf weiteres gesperrt.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag19:0020:30AZugweg 48Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Montag20:3022:00FZugweg 48Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Mittwoch19:0020:30A / FAEumeniusstraße 4Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Freitag19:3021:30FZülpicher Wall 1Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
5;"Da wir letztes Jahr gute Erfahrungen gemacht haben, bieten wir auch in diesem Wintersemester trotz Corona Beachvolleyballtraining in der Halle in Poll in Kleingruppen an. Bitte wählt im Interesse aller einen Kurs gemäß eurem Spielniveau, sonst ist eine Teilnahme nicht möglich. Der Trainer ist befugt, diejenigen, die sich bei einem unpassenden Niveau anmelden, des Kurses zu verweisen. In diesem Fall wird der Kursbeitrag nicht erstattet!V2 (Intermediate): In diesem Kurs geht es um das systematische Erlernen beachvolleyballspezifischer Techniken (Grundstellung, Zuspiel, Shot, Rainbow, Cut, Poke…). Vorausgesetzt wird das sichere Beherrschen der Grundtechniken. Zudem spielt die Vermittlung des Spielprinzips sowie einfache Spieltaktiken eine Rolle.V3 (Advanced):In diesem Kurs sollten beachvolleyballspezifische Techniken sowie das Spielprinzip und einfache Spieltaktiken bereits beherrscht werden. Die Techniken werden wiederholt und gefestigt. Der Kurs richtet sich an D-Turnierspieler.V4 (Professional):Im Fokus stehen Wiederholung, Festigung, Verbesserung und Aufrechterhaltung beachvolleyballspezifischer Techniken sowie technische und spielerische Übungsformen, fortgeschrittene Spieltaktiken und individuelle Aspekte. Der Kurs richtet sich an diejenigen, die Leistungs­beachvolleyball spielen (ab C-Niveau).Die Kurse werden von Maximilian Mohnfeld geleitet.Für diesen Kurs gibt es eine Online-Anmeldung:hier.Anmeldung für die Ferien:Samstag, 22.01.2022 (9 Uhr) bis Montag, 24.01.2022 (9 Uhr)2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag17:0019:00V3Poller weg 1 (Cologne Sportpark)Vorlesungszeit und vorlesungsfreie ZeitBeginn: 07.02.22Montag19:0021:00V2Poller weg 1 (Cologne Sportpark)Vorlesungszeit und vorlesungsfreie ZeitBeginn: 07.02.2022Mittwoch17:0019:00V4Poller weg 1 (Cologne Sportpark)Vorlesungszeit und vorlesungsfreie ZeitBeginn: 09.02.2022Mittwoch19:0021:00V3Poller weg 1 (Cologne Sportpark)Vorlesungszeit und vorlesungsfreie ZeitBeginn: 09.02.2022"
6;"11 Spieler auf jeder Seite, ein Ball – Fußball-Derby? Nein, der Ball ist rot, die Spieler tragen auch imSommer lange Hosen und außerdem gibt es Schläger aus Holz. Es handelt sich umCricket – die Nummer Zwei der meistgespielten Sportarten der Welt – jetzt auch in Köln!Teamgeist, Respekt und vor allem Spaß lassen schon seit Jahren die Anzahl der Cricket-Vereine in Deutschland wachsen.In einem internationalen Team mit ausgebildetem Trainer lernt ihr die kleinen, roten Bälle zu werfen (Bowling), zu schlagen (Batting), zu fangen (Catching) und natürlich,warum Cricket die einzige Sportart ist, bei der es einetraditionelle Teepause gibt.Cricket: Ein Spektakel mit eigenem Rhythmus, bei dem nichtunbedingt die technisch bessere Mannschaft, sondern die mit den kühlsten Köpfen gewinnt. Interessiert? Dannmelde dich zum Training!Cricket – wo Schläger Gentle(wo)men sind!2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleSamstag10:0012:00Katharina-Henoth-Gesamtschulenur VorlesungszeitDamenSamstag12:0014:00Katharina-Henoth-Gesamtschulenur VorlesungszeitHerren"
7;"Eishockey ist eine der populärsten Mannschaftssportarten der Welt.Bei diesem blitzschnellen und kampfbetonten Spieldarf auch der Teamgeist nicht zu kurz kommen – fünf Feldspieler und ein Torwart bilden hier eine Mannschaft.Im Kurs werden Techniken trainiert und verschiedene Übungen durchgeführt, aber auch das Spielen soll nicht zukurz kommen.Alle sind willkommen, Könner wie auch Neulinge. VonVorteil wäre es, wenn ihr euch schon einigermaßen sicher auf Schlittschuhen bewegen könnt.Vor Ort kann eine Leihausrüstung genutzt werden, für diepro Termin eine Gebühr von 10€ fällig wird; natürlich dürft ihr auch gern euer eigenes Equipment mitbringen. Torwartausrüstungen sind leider nicht entleihbar.Der Treffpunkt ist immer eine halbe Stunde vor Kursbeginn(13.30 Uhr), damit genug Zeit vorhanden ist, um die Ausrüstung zu leihen und anzulegen.Aktuell finden nur die Kurse mit Anmeldebutton statt! Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.!!!Wichtig!!!:2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDienstag14:0015:15Kölner HaieVorlesungszeit und vorlesungsfreie Zeit!! Aufgrund technischer Schwierigkeiten fällt Eishockey zu unserem großen Bedauern bis auf Weiteres aus"
8;"Fußball ist der mit Abstand populärste Sport in Deutschland. Daher gehört dieser Breitensport auch zu unserem Programm und jeder kann daran teilnehmen. In unseren Kursen wird vor allem gespielt und sie zeichnen sich durch Fair Play und freundschaftliches, gemeinsames Sporttreiben aus.Es wird auf einem Kunstrasenplaz gekickt.Organisatorische Hinweise: Bitte zu den Kursterminen pünktlich erscheinen! Wer zu spät erscheint, kann nicht mehr mitspielen.Die Anmeldung erfolgt online; sie wird jeweils 3 Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.Neue Soccerhallen Kurse kostenlos: weitere Infoshier2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Es gibt keine Duschmöglichkeit, Toiletten sind selbstverständlich nutzbar.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleMontag16:0018:00Zülpicher Wall 1Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…Mittwoch16:0018:00Zülpicher Wall 1Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
9;"Handball ist ein Klassiker unter den Mannschaftssportarten. Unser Trainer ist sehr erfahren und handballbegeistert. Das Niveau ist geeignet für Spieler ab Kreisklassebzw. fortgeschrittene Hobbyhandballer. Im Zweifelsfall entscheidet der Trainer über die Teilnahme. Für die Hallensportangebote werden saubere, abriebfeste Sportschuhe benötigt.Wichtig:Der Haupteingang befindet sich in der Straße „Gotenring“ (an der Severinsbrücke). Bitte pünktlich um 18.00 Uhr da sein, weil der Halleneingang dann abgeschlossen wird.Die Anmeldung erfolgt online;sie wird jeweils drei Stunden vor Kursbeginn eröffnet. Diese Anmeldung ist verbindlich!Bitte achtet darauf, pünktlich vor Ort zu erscheinen und haltet zu allen Kursen euren Studierendenausweis mit Lichtbild bereit.2G+ Nachweispflicht ab SofortDas heißt, es dürfen nur teilnehmen:- immunisierte Personen (geimpft/genesen), diezusätzlichverfügen über- einenaktuell gültigen Testnachweis(Antigen-Schnelltest max. 24 Std. alt;PCR-Test max. 48 Std. alt).NEU!:Diezusätzliche Testpflicht (2G+) entfälltfür Personen, diezusätzlich zur vollständigen Grundimmunisierung geboostertoder in den letzten drei Monaten von einer Infektiongenesensind.Vor Kursbeginn sind die Teilnehmenden angehalten, den Nachweis zum Corona-Schutz-Status samt Personalausweis vorzulegen. Ohne Nachweis ist die Teilnahme nicht gestattet.------------- ACHTUNG: KOMMT CA. 10 MIN VOR KURSBEGINN! -----------------WER ZU SPÄT KOMMT, MUSS VON DER TEILNAHME LEIDER AUSGESCHLOSSEN WERDEN.Grund ist, dass nach Kursbeginn der Corona-Schutz-Status nicht mehr kontrolliert werden kann.Es gibt keine Duschmöglichkeit, Toiletten sind selbstverständlich nutzbar.TagBeginnEndeNiveauOrtBemerkungenAnmeldungKursausfälleDonnerstag18:0020:00Schaurte Str. 1Vorlesungszeit und vorlesungsfreie Zeithttps://anmeld…"
